influencer_name,display_name,post_count,avg_likes,avg_comments,avg_views,total_likes,total_comments,account_type,country,followers_at_date,oldest_followers,FGR,first_post,last_post,category
alatokell,Ala Tokel,100,7202.51,35.6,874913.03,720251,3560,creator,TR,4374565,3499652,-41.4,2025-05-09 13:10:37,2026-05-17 12:19:43,
ardaguler,Arda Güler,100,1832874.36,12692.31,32475484.92,183287436,1269231,creator,TR,162377425,129901940,-64.65,2024-06-01 22:37:25,2026-05-18 18:49:03,
ardasaatci,Arda Saatçi,100,245645.14,1457.13,5572785.69,24564514,145713,creator,TR,27863928,22291143,688.15,2025-05-06 14:12:55,2026-05-10 22:43:29,
ardaturan,Arda Turan,100,181803.63,1980.63,4163297.36,18180363,198063,creator,TR,20816487,16653189,0.0,2020-09-27 20:25:28,2026-04-11 10:41:42,
ardaturkmen,arda turkmen,100,8680.77,110.98,452526.89,868077,11098,creator,TR,2262634,1810108,-10.97,2025-09-18 16:47:19,2026-05-18 15:56:12,
asliafsaroglu,Aslı Afşaroğlu,100,3677.69,15.37,274813.5,367769,1537,creator,TR,1374068,1099254,-61.63,2024-09-28 17:14:14,2026-05-19 17:47:47,
ata_caglayan,Ata Çağlayan,100,207.49,43.97,5841.89,20749,4397,creator,TR,29209,23368,-86.97,2025-01-12 16:27:49,2026-05-18 07:16:52,
aysetolga,Ayse Tolga,100,16411.33,305.46,169971.09,1641133,30546,creator,TR,849855,679884,-38.37,2025-10-05 14:43:32,2026-05-18 07:28:53,
bagtubaa,TUĞBA BAĞ 💎,100,13110.55,105.37,596632.1,1311055,10537,business,TR,2983160,2386528,26.97,2026-01-13 18:05:58,2026-05-19 16:50:56,
baharakinci,BAHAR AKINCI,100,1998.45,115.77,162485.24,199845,11577,creator,TR,812426,649941,-78.0,2022-12-24 14:57:24,2026-05-01 06:40:00,
barismrtyagci,Barış Murat Yağcı,100,17002.25,1092.69,1621314.0,1700225,109269,creator,TR,8106570,6485256,-19.73,2022-12-19 15:00:48,2026-05-10 17:47:37,
barisozcan,Barış Özcan,100,5916.8,61.1,376422.82,591680,6110,creator,TR,1882114,1505691,1305.79,2024-08-26 01:25:16,2026-04-07 15:07:28,
beyzalkoc,Beyza Alkoç Aydın,100,5826.59,1591.1,262363.94,582659,159110,creator,TR,1311820,1049456,-53.04,2025-03-01 17:23:48,2026-05-14 17:38:31,
bizim.zeyno,Zeynep Durmuş,100,518.71,86.58,177746.44,51871,8658,creator,TR,888732,710986,211.85,2026-02-03 20:28:28,2026-05-19 20:56:34,
burcues,burcu esmersoy,100,3475.92,82.02,224831.15,347592,8202,creator,TR,1124156,899325,167.99,2025-10-21 17:16:34,2026-05-18 16:06:12,
busekorkmaziniz,Zeynep Buse Korkmaz,100,46582.41,3321.88,2216218.19,4658241,332188,business,TR,11081091,8864873,-37.21,2025-10-11 13:12:35,2026-05-17 13:05:05,
buseterim,Buse Terim,100,5546.28,63.87,833051.3,554628,6387,business,TR,4165256,3332205,-49.05,2025-08-21 08:55:08,2026-05-19 16:52:46,
busezeynep,Buse Zeynep,100,407138.85,1301.23,11869265.97,40713885,130123,business,TR,59346330,47477064,-59.41,2025-10-28 09:11:12,2026-05-17 17:44:51,
